,fluxes
ACPPAT181,0.0
ACPS1,0.0
ACS,0.08601444067283694
ACS2,0.0
ACSERtex,0.0
ACSERtpp,0.0
ACSPHAC100,0.0
ACSPHAC101,0.0
ACSPHAC120,0.0
ACSPHAC121,0.0
ACSPHAC121d6,0.0
ACSPHAC140,0.0
ACSPHAC141,0.0
ACSPHAC141d5,0.0
ACSPHAC142,0.0
ACSPHAC160,0.0
ACSPHAC40,0.0
ACSPHAC50,0.0
ACSPHAC60,0.0
ACSPHAC70,0.0
ACSPHAC80,0.0
ACSPHAC90,0.0
ACSPHACP100,0.0
ACSPHACP40,0.0
ACSPHACP50,0.0
ACSPHACP60,0.0
ACSPHACP70,0.0
ACSPHACP80,0.0
ACSPHACP90,0.0
ACSPHACT40,0.0
ACSPHACT60,0.0
DGUDBUTNabcpp,0.0
ALGE9,0.0
ALGL,0.0
ALGL2,0.0
ALGSex1,0.0
ALGSex10,0.0
ALGSex11,0.0
ALGSex12,0.0
ALGSex13,0.0
ALGSex2,0.0
ALGSex3,0.0
ALGSex4,0.0
ALGSex5,0.0
ALGSex6,0.0
ALGSex7,0.0
ALGSex8,0.0
ALGSex9,0.0
ALLTAMH,0.0
ALLTN,0.0
ALLTNRA,0.0
ALLTNt2rpp,0.0
ALLTNtex,0.0
ALPATE160pp,0.0
ALPATE161pp,0.0
ALPATE180pp,0.0
ALPATE181pp,0.0
ALPATG160pp,0.0
ALPATG161pp,0.0
ALPATG180pp,0.0
ALPATG181pp,0.0
ALTRH,0.0
AM3PA,0.0
AM4PA,0.0
AM4PCP,0.0
AMAOTr,3.247710881470998e-05
AMID4,0.0
AMPMS2,3.2343589897018614e-05
AMPN,0.0
AMPTASEAH,0.0
AMPTASEAL,0.0
AMPTASEAT,-2.558819154875835e-57
AMPTASEATRP,1.6859801664449677e-57
AMPTASECG,-3.336910043674546e-28
GLYGLYCNc,1.5824918665099829e-27
AMPTASEGGLN,0.0
AMPTASEGGLU,0.0
AMPTASEGM,-1.5359297856903693e-27
GLYPHEHYc,2.370267242419319e-27
AMPTASEGS,9.31048582365126e-28
AMPTASEHG,0.0
AMPTASEHH,-6.99759142647015e-28
LEULEULAPc,-9.86546571386456e-28
AMPTASEPG,-1.9660524696496686e-27
ANHMK,0.0
ANPRT,0.008609404831375614
ANS,0.0
ANS2,0.008609404831375614
AOBUTDs,3.2146233113779636e-05
AOXHEXCYCL,0.0
AOXSr2,3.247710881470998e-05
AP4AH,0.0
AP4AS,0.0
APATr,0.0
APCt5,0.0
APCt6,0.0
APCtex,0.0
APCtpp,0.0
APENTAMAH2,0.0
APG3PAT120,0.0
APG3PAT140,0.0
APG3PAT141,0.0
APG3PAT160,0.0
APG3PAT161,0.0
APG3PAT180,0.0
APG3PAT181,0.0
APPLDHr,3.2146233113779636e-05
APRAUR,0.00010748784026424654
APSR,0.0
APSR2,0.02868174239926435
APTNAT,0.0
ARBTNR1,0.0
ARBTNR2,0.0
ARBTNabcpp,0.0
ARBTNexs,0.0
ARBTNtex,0.0
ARBTNtonex,0.0
ARBTNtpp,0.0
ARBt3ipp,0.0
ARGDr,0.0
ARGDC,0.0
ARGDCpp,0.0
ARGORNt7pp,0.0
ARGSL,0.049939720312858704
ARGSS,0.049939720312858704
ARGTRS,0.0
ARGabcpp,0.0
ARGt2pp,4.408905905443698e-28
ARGtex,0.0
AROH,0.03090460419131122
ARUH,0.0
ASAD,-0.17514686543319874
ASNN,0.0
ASNNpp,0.0
ASNS1,0.0
ASNtex,0.0
ASO3t2pp,0.0
ASO3tex,0.0
ASO4rt2rpp,0.0
ASO4tex,0.0
ASP3H,3.21175838470459e-05
ASPCT,0.03786916701300724
ASPK,0.17514686543319874
ASPO1,0.0
ASPO3,0.00032788531573209204
ASPO5,0.0
ASPO6,0.0
ASPSALy,0.0
ASPT,0.0
BZDH,0.0
BZDIOLDH,1.96
BZt1pp,1.96
BZt2_pp,0.0
BZtex,1.96
CA2tex,5.543627505300701e-11
CACOAHA,0.0
CAFFCOA,0.0
CARBSARAH,0.0
CARNabcpp,0.0
CARNtex,0.0
CAT,0.00011269265242880568
CATDOX,1.96
CATECHOLtex,0.0
CATECHOLtpp,0.0
CATpp,0.0
CAt6pp,-5.543627505300701e-11
CBIAT,0.0
CBItonex,0.0
CBIuabcpp,0.0
CBL1abcpp,0.0
CBL1tonex,0.0
CBLAT,-2.8649266733735507e-08
CBMKr,0.08906132907086106
CBPAH,0.0
CBPS,0.0
CCGS,8.372960270063238e-06
CCPpp,0.0
CD2abcpp,0.0
CD2t3pp,0.0
CD2t4pp,0.0
CD2t5,0.0
CD2t6,0.0
CD2tex,0.0
CD2tpp,0.0
CDGR,8.372960270063238e-06
CDGS,8.372960270063238e-06
CDPMEK,0.0004729427510419599
CELASEpp,0.0
CELLS,0.0
CELLex,0.0
CFAS160E,5.905026626586914e-05
CFAS160G,3.254965896606446e-05
CFAS180E,0.0
CFAS180G,0.0
CGLYabcpp,0.0
CGLYtex,0.0
CHLabcpp,0.0
CHLtex,0.0
CHOLD,0.0
CHOLSH,0.0
CHOLS_ex,0.0
CHOLSabc,0.0
CPPPGO2,0.0
CREAT,0.0
CREATtex,0.0
CREATtpp,0.0
CRNDH,0.0
CRNabcpp,0.0
CRNtex,0.0
CRO2t3pp,0.0
CRO2tex,0.0
CRO2tpp,0.0
CRO4Rx,0.0
CRO4Ry,0.0
CRO4abcpp,0.0
CRO4t3pp,0.0
CRO4tex,0.0
CRTNIH,0.0
CRTNtex,0.0
CRTNtpp,0.0
CS,1.8121415854904024
CSND,0.0
CSNt2pp,0.0
CSNtex,0.0
CSPMDDC,0.0
CSPMDDH,0.0
CTI1,0.0
CTPS2,0.0
CU2abcpp,0.0
CU2t4pp,0.0
CU2tex,1.0838059907459935e-05
CU2tonex,0.0
CU2tpp,1.0838059907459935e-05
CUt3,0.0
CUtex,0.0
CUt2pp,0.0
CYANST,0.0
CYANt2pp,0.0
CYANtex,0.0
CYO1_KT,0.0
CYO4pp,0.0
CYRDAAT,3.2146233113779636e-05
CYRDAR,1.6073116556889818e-05
CYSDS,0.0
CYSDabcpp,0.0
CYSDtex,0.0
CYSS,0.0
SLCYSS,0.0
CYSSADS,0.0
CYSTGL,0.007384634553654823
CYSTL,0.0
CYSTRS,0.0
CYSTS,0.007384634553654823
CYSabcpp,0.0
CYStex,0.0
CYStpp,0.0
CYTBDpp,0.0
CYTBO3_4pp,8.39803612219051
CYTCAA3pp,0.0
CYTCBB3pp,0.0
CYTDH,0.0
CYTK1,0.04032240884857563
CYTK2,0.0
DAAD,0.0
DH3MCHCDH,0.0
DH4MCHCDH,0.0
DHACOAH,0.0
DHAD1_copy1,0.16281835888920657
DHAD2,0.055351260274192605
DHDPRy,0.0541264181372106
DHDPS,0.0541264181372106
DHFR,0.00544912871246661
DHFS,0.0001284703353881836
DHMPTR,0.0
DHMPTRx,3.21175838470459e-05
DHNPA_1,0.0001284703353881836
DHNPTE,3.21175838470459e-05
DHORD2,0.03786916701300724
DHORDfum,0.0
DHORTS,-0.03786916701300724
DHPM1,8.392572063510674e-05
DHPM2,0.0
DHPPDA2,0.00010748784026424654
DHPS,0.0001284703353881836
DHQTi_copy1,0.06314252428171706
DHQS,0.06314252428171706
DHSKDH,0.0
DKGLCNR3,0.0
DLASNR,0.0
DLCYSR,0.0
DLEUabcpp,0.0
DLEUtex,0.0
DLMETR,0.0
DLYSAD,0.0
DLYSOXGAT,0.002618718153042746
DLYSPYRAT,-0.002618718153042746
DLYSabcpp,0.0
DLYStex,0.0
DMATT,8.299460478355857e-05
METDtex,0.0
DMGDH2,0.0
DMGLYBabcpp,0.0
DMGLYtex,0.0
DMPPS,8.299460478355857e-05
DMQMT,3.21175838470459e-05
DMSO2abcpp,0.0
DMSO2tex,0.0
ECOAH20,0.0
ECOAH21,0.0
ECOAH22,0.0
ECOAH23,0.0
ECOAH24,0.0
ECOAH25,0.0
ECOAH26,0.0
ECOAH27,0.0
ECOAH28,0.0
ECOAH29,0.0
ECOAH3,0.0
ECOAH30,0.0
ECOAH31,0.0
ECOAH32,0.0
ECOAH33,0.0
ECOAH34,0.0
ECOAH35,0.0
ECOAH36,0.0
ECOAH37,0.0
ECOAH38,0.0
ECOAH4,0.0
ECOAH5,0.0
ECOAH6,0.0
ECOAH7,0.0
ECOAH8,0.0
ECOAH9ir,0.0
ECTOH,0.0
ECTOabcpp,0.0
ECTOtex,0.0
EDA,0.0
EDD,0.0
EDTXS1_kt,0.0012524417449951174
EDTXS2_kt,0.0012524417449951174
EDTXS5_kt,0.0
EDTXS6_kt,0.0
EGMEACPR,3.247722875122493e-05
ENO,-0.505343991147555
EPMEACPR,3.247714879349908e-05
ETHAAL,0.0
ETHAt2pp,0.0
ETHAtex,0.0
ETHSO3abcpp,0.0
ETHSO3tex,0.0
ETOHtex,0.0
ETOHtrpp,0.0
FA100ACPHi,0.0
FA120ACPHi,0.0
FA140ACPHi,0.0
FA141ACPHi,0.0
FA160ACPHi,0.0
FA161ACPHi,0.0
FA80ACPHi,0.0
FACOAE100,0.0
FACOAE120,0.0
FACOAE140,0.0
FACOAE141,0.0
FACOAE160,0.0
FACOAE161,0.0
FACOAE180,0.0
FACOAE181,0.0
HMR_0260,0.0
FACOAE1829Z12Z,0.0
FACOAE50,0.0
FACOAE60,0.0
FACOAE70,0.0
FACOAE80,0.0
FACOAE90,0.0
HMR_0180_copy1,0.0
FACOAL100t2pp,0.0
HMR_0188,0.0
FACOAL120t2pp,0.0
FACOAL140,0.0
FACOAL140t2pp,0.0
FACOAL141,0.0
FACOAL141t2pp,0.0
FACOAL160,0.0
FACOAL160t2pp,0.0
FACOAL161,0.0
FACOAL161t2pp,0.0
FACOAL180,0.0
FACOAL180t2pp,0.0
FACOAL1812,0.0
FACOAL181d11tpp,0.0
FACOAL181d6t2pp,0.0
FACOAL181,0.0
FACOAL181t2pp,0.0
FACOAL1821,0.0
FACOAL182t2pp,0.0
FACOAL50i,0.0
FACOAL50t2pp,0.0
FACOAL60i,0.0
FACOAL60t2pp,0.0
FACOAL_70_c,0.0
FACOAL70t2pp,0.0
FACOAL80,0.0
FACOAL80t2pp,0.0
FACOAL90i,0.0
FACOAL90t2pp,0.0
FACOALP100t2pp,0.0
FACOALP50t2pp,0.0
FACOALP60t2pp,0.0
FACOALP70t2pp,0.0
FACOALP80t2pp,0.0
FACOALP90t2pp,0.0
FACOALT60t2pp,0.0
FALDH2,0.0
FALDM,-3.247712880409838e-05
FALDep,0.0
FALDtex,0.0
FALDtpp,0.0
FALDtpp2,0.0
PPAtex,0.0
FALGTHLs,0.0
FBA,-0.10810216507536814
FBACS,3.21175838470459e-05
FBACabcpp,3.21175838470459e-05
FBP,0.10810216507536814
FCLT,8.591143294417061e-05
FCOAHA,0.0
FDH,0.0034054782388876327
FDMO,0.0
FDMO2,0.0
FDMO3,0.0
FDMO4,0.0
FDMO5,0.0
FDMO6,0.0
FDMO7,0.0
FDMOtau,0.0
FE2t3pp,0.0
FE2tex,0.00022113913606264495
FE3DCIT2abcpp,0.0
FE3DCITCH,0.00022113913606264495
FE3DCITR,0.0
FE3DCITR2,0.0
FE3DCITR3,0.0
FE3DCITR4,0.00022113913606264495
FE3DCITabcpp,0.0
FE3DCITtonex,0.0
FE3PYOVD2tonex,0.0
FE3PYOVDDR,0.0
FE3PYOVDDR2,0.0
FE3PYOVDL,0.0
FE3PYOVDL2,0.0
FE3PYOVDtonex,0.0
FE3abcpp,0.00022113913606264495
FECRMR1,0.0
FECRMR2,0.0
FECRMUtex,0.0
FECRMUtpp,0.0
FECRMabcpp,0.0
FECRMexs,0.0
FECRMtonex,0.0
FEENTERR1,0.0
FEENTERR2,0.0
FEENTERabcpp,0.0
FEENTERexs,0.0
FEENTERtex,0.0
FEENTERtonex,0.0
FEENTERtpp,0.0
FEOXAMR1,0.0
FEOXAMR2,0.0
FEOXAMUtex,0.0
FEOXAMUtpp,0.0
FEOXAMabcpp,0.0
FEOXAMexs,0.0
GAt1,0.0
FEOXAMtonex,0.0
FEROpp,5.528478401566124e-05
FERULCOAS,0.0
FERtex,0.0
FERtpp,0.0
FLDR2,0.0005835119599265593
FMNAT,3.700307119978405e-05
FMNRx2_copy1,0.0
FMNRx,0.0
FMNRx2_copy2,3.2146233113779636e-05
FOLD3,0.0
FORGLUIH2,0.0
FORt2pp,0.0
FORtex,0.0
FRDO4r,-0.0001361674014944912
FRDO5r,0.0
FRDO6r,0.0
FRDO7r,0.0
FRUK,0.0
FRUptspp,0.0
FRUtex,0.0
FTHFCL,0.0
FTHFD,0.0
FUM,3.699098994655174
FUMAC,0.0
FUMt2_2pp,0.0
FUMtex,0.0
G1PACT,0.011397565539550783
G1PTT,0.0
G1SAT,0.0012014019992399691
G2PP,0.0
G3PAT120,0.0
G3PAT140,6.121064186096191e-05
G3PAT141,0.0
G3PAT160,0.0019287833312988283
G3PAT161,0.009674017889785768
G3PAT180,0.0006416315517425538
G3PAT181,0.004367127252960205
G3PD2,-0.02274304015296077
G3PD5,0.0
G3PEabcpp,0.0
G3PGabcpp,0.0
G5SADs,0.03452654434992089
G5SD_copy1,0.0
G6PBDH,0.0
G6PDH2r,0.0
G6PI,0.0
GACH,0.0
GAD2ktpp,0.0
GADOX,0.0
GALCTD,0.0
GALCTt2rpp,0.0
GALCTtex,0.0
GALURDH,0.0
GALURt2rpp,0.0
GALURtex,0.0
GALUi,0.00500976697998047
GAPD,-0.277436136244621
GARFT,0.034283377975519946
GART,0.0
GAt2pp,0.0
GBDM,0.0
GCALDD,0.0001284703353881836
GCALDtabcpp,0.0
GDBTALDH,0.0
GDPDPK,0.0
GDPMANNDH,0.0
GDPTPDP,0.0
GF6PTA,0.011397565539550783
GG15DAPAH,0.0
GG15DAPDxr,0.0
GG15DAPO,0.0
GG15DAPS,0.0
GGDAPAH,0.0
GGDAPDxr,0.0
GGDAPO,0.0
GGDAPS,0.0
GGGABADxr,0.0
GGGABAH,0.0
GGPTRCO,0.0
GGPTRCS,0.0
GGSPMDO,0.0
GGSPMDS,0.0
GHMT2r,0.11614262734568129
GK1,0.03932473861506531
GLBRAN3,0.0
GLCDpp,0.0
GLCNt2rpp,0.0
GLCNtex,0.0
GLCOAS,0.0
GLCOASYNT,0.0
GLCP3,0.0
GLCP4,0.0
GLCRD,0.0
GLCRt2rpp,0.0
GLCRtex,0.0
GLCS3_1,0.0
GLCURDH,0.0
GLCURt2rpp,0.0
GLCURtex,0.0
GLCabcpp,0.0
GLCtex,0.0
GLDBRAN3,0.0
GLGC,0.0
GLNS_copy1,0.18660815261180705
GLNTRS,0.0
GLNtex,0.0
GLU5K,0.03452654434992089
GLUCYS_copy1,2.36152461796535e-05
GLUDxi,-0.6847479261386762
GLUDy,-0.4266213701116411
GLUNpp,0.0
GLUPRT,0.03428337797551995
GLUR,-0.0012014019992399691
GLUSy,0.0
GLUTARt2rpp,0.0
GLUTARtex,0.0
GLUTCOADHc,0.0
GLUTRR,0.0012014019992399691
GLUTRS,0.0012014019992399691
GLUabcpp,0.0
GLUt2rpp,0.0
GLUt4pp,0.0
GLUtex,0.0
GLXCL,6.92299058618603e-05
GLXO3r,0.0
GLYALDDr,-6.92299058618603e-05
GLYALDtex,0.0
GLYALDtpp,0.0
GLYBACT1r,0.0
GLYBCOAT,0.0
GLYBabcpp,0.0
GLYBt2pp,0.0
GLYBtex,0.0
GLYBti4pp,0.0
GLYCAt2rpp,0.0
GLYCAtex,0.0
GLYCK,0.0
GLYCL,0.0
GLYCLTDx,0.0
GLYCLTDy,0.0
GLYCLTt2rpp,0.0
GLYCLTt4pp,0.0
GLYCLTtex,0.0
GLYCOLDHpp,0.0
GLYCOLtex,0.0
GLYCTO1,0.0001284703353881836
GLYCtex,0.0
GLYCtpp,-0.0007158044471740723
HPYRRx,-6.92299058618603e-05
GLYGLNabcpp,0.0
GLYGLNtex,0.0
GLYGLUabcpp,0.0
GLYGLUtex,0.0
GLYGLYabcpp,0.0
GLYGLYtex,0.0
GLYK,0.0007850343530359326
GLYMETabcpp,0.0
GLYMETtex,0.0
GLYO1,0.0
GLYOX,0.0
GLYPHEabcpp,0.0
GLYPHEtex,0.0
GLYSERabcpp,0.0
GLYSERtex,0.0
GLYTRS,0.0
GLYabcpp,0.0
GLYt2pp,0.0
GLYt4pp,0.0
GLYtex,0.0
GMAND,0.0
GMHEPAT,0.002504883489990235
GMHEPK,0.002504883489990235
GMHEPPA,0.002504883489990235
GMPS2,0.01919632086856993
GND,0.0
GNK,0.0
GNNUC,0.0
GPDDA2,0.0
GPDDA4,0.0
GPTNH,0.0
GRTT,8.299460478355857e-05
GRXR,0.02868172474590305
GTHOr,0.02868172474590305
GTHPi,0.0
GTHRDHpp,0.0
GTHRDabc2pp,0.0
GTHS,3.21175838470459e-05
GTPCI,0.00016896087950529274
GTPCII2,0.00010748784026424654
GTPDPDP,0.0
GTPDPK,0.0
GTPHs,0.0
GTR1_kt,0.0
GTR2_kt,0.0
GUACYC,0.0
GUAD,0.0
GUAPRT,8.372960270063238e-06
GUAt2pp,0.0
GUAtex,0.0
GUDACabcpp,0.0
GUDACtex,0.0
GUDBUTNAH,0.0
GUDPTNabcpp,0.0
GUDPTNtex,0.0
H2CO3D,0.31284909197173977
H2CO3D2,-0.31284909197173977
H2O2tex,0.0
H2Otex,-3.517421787442639
H2Otpp,-3.5218942386620373
H2SO,0.0
H2St1pp,0.0
H2Stex,0.0
HACD10i,0.0
HACD11i,0.0
HACD12i,0.0
HACD13i,0.0
HACD14i,0.0
HACD15i,0.0
HACD16i,0.0
HACD17i,0.0
HACD18i,0.0
HACD19i,0.0
HACD1i,0.0
HACD20i,0.0
HACD21i,0.0
HACD22i,0.0
HACD23i,0.0
HACD24i,0.0
HACD25i,0.0
SBO3tex,0.0
HACD26i,0.0
HACD27i,0.0
HACD28i,0.0
HACD29i,0.0
HACD2i,0.0
HACD30i,0.0
HACD31i,0.0
HACD32i,0.0
HACD33i,0.0
HACD3i,0.0
HACD4i,0.0
HACD5i,0.0
HACD6i,0.0
HACD7i,0.0
HACD8i,0.0
HACD9,0.0
HVCD,0.0
HADPCOADH3,0.0
HAT40tex,0.0
HAT40tpp,0.0
HATBH,0.0
HBZOPT,3.21175838470459e-05
HCO3E,0.0
HCYSMT,0.0
HCYSMT2,0.0
HCYStabcpp,0.0
HCYStex,0.0
HDCAtexi,0.0
HDCEAtexi,0.0
CTECOAI7,0.0
HEMEOS,4.2955643754505836e-05
HEPCT,0.0012524417449951174
HEPK1_kt,0.0012524417449951174
HEPK2_kt,0.0012524417449951174
HEPK3_kt,0.0012524417449951174
HEPT1_kt,0.0012524417449951174
HEPT2_kt,0.0012524417449951174
HEX1,0.0
HG2t3pp,0.0
HG2tex,0.0
HG2tppi,0.0
HGENTISt2pp,0.0
HGENTIStex,0.0
HGNTOR,0.0
HIBDkt,0.0
HISDr,0.0
HISGLYabcpp,0.0
HISGLYtex,0.0
HISHISabcpp,0.0
HISHIStex,0.0
HISTD,0.017081077575236935
HISTP,0.017081077575236935
HISTRS,0.0
HISabcpp,0.0
HISt2rpp,0.0
HIStex,0.0
HIUH_c,0.0
HMBS,0.00015017524990499614
HMGL,0.0
HMPK1,0.0
HMSD,0.0
HMSD2,0.0
HMSH,0.0
HMSH2,0.0
HMSH3,0.0
HOMt2pp,0.0
HOMtex,0.0
HOMtpp,0.0
HOPNTAL,0.0
HOPNTAL2,0.0
HOXG,0.0
HPAtexi,0.0
HPPK,0.0
HPYRI,-6.92299058618603e-05
HPYRRy,0.0001384598117237206
HSDy,-0.1209883297121411
HSERTA,0.028681742399264354
HSK,0.09230658731287675
HSTPT,0.017081077575236935
HXAND,0.0
HXANt2pp,0.0
HXAtex,0.0
HXPRT,0.0
HYGBDIAS,3.2146233113779636e-05
HYXNtex,0.0
Htex,0.6195879715538732
I2FE2SR,3.247710881470998e-05
I2FE2SS2fdx,5.249648543297126e-05
I2FE2SSfdx,3.117454674957066e-05
I2FE2ST,1.1155130954272732e-05
I4FE4SRfdx,5.249645312184415e-05
I4FE4ST,5.2496420810736924e-05
ICDHyr,1.8121415854904024
ICITt4pp,0.0
ICITt_kt,0.0
ICITtex,0.0
ICL,0.0
ICYSDS,0.000423429557651608
IG3PS,0.017081077575236935
IGPDH,0.017081077575236935
IGPS,0.008609404831375614
ILEDHr_1,-0.055351260274192605
ILETA,0.0
ILETRS,-1.824458541282424e-27
ILEabcpp,0.0
ILEt2rpp,0.0
ILEtex,0.0
IMPC,-0.05133211196085987
IMPD,0.01919632086856993
IND3ACtex,0.0
IND3ACtpp,0.0
INDOLEt5,0.0
INDOLEt6,0.0
INDOLEtex,0.0
INDOLEtpp,0.0
INSH,0.0
INStex,0.0
IPDDI,0.0
IPDPS,0.0003899481462584014
IPMD,0.0992229167171818
IPPMIa,-0.0992229167171818
IPPMIb,-0.0992229167171818
IPPS,0.0992229167171818
ISETACabcpp,0.0
ISETACtex,0.0
ISOAML,0.0
IVCS,0.0
IZPN,0.0
KARA1,-0.16281835888920657
KARA2,0.055351260274192605
KAS14,0.0
KAS15,0.040892992072560856
KAT1,0.005263276584224414
KAT10,0.0
KAT11,0.0
KAT12,0.0
KAT13,0.0
KAT14,0.0
KAT15,0.0
KAT16,0.0
KAT17,0.0
KAT18,0.0
KAT19,0.0
ACACT11,0.0
KAT20,0.0
KAT21,0.0
KAT22,0.0
KAT23,0.0
KAT24,0.0
KAT25,0.0
KAT26,0.0
KAT27,0.0
KAT28,0.0
KAT29,0.0
ACACT8,0.0
KAT30,0.0
KAT31,0.0
KAT32,0.0
ACACT13,0.0
ACACT10,0.0
ACACT9,0.0
ACACT12,0.0
ACACT8r,0.0
VCACT,0.0
KDOCT2,0.002504883489990235
KDOPP,0.002504883489990235
KDOPS,0.002504883489990235
Kabcpp,0.0
Kt2pp,1.1448169036793624e-06
Kt3pp,0.0
Ktex,1.1448169036793624e-06
LALALGLUtex,0.0
LALGP,0.0
LCADi,0.0
LCTSt3ipp,0.0
LDH_D,0.0
LDH_D2,0.0
LLEUDr,-0.0992229167171818
LEULEUabcpp,0.0
LEULEUtex,0.0
LEUTA,0.0
LEUTRS,0.0
LEUabcpp,0.0
LEUt2rpp,0.0
LEUtex,0.0
LGTHL,0.0
LIPAH,0.0012524417449951174
LIPOCT,3.21175838470459e-05
LIPOS,3.21175838470459e-05
LNLCtexi,0.0
LPADSS2_1,0.0012524417449951174
LPCOXc,0.0
LPLIPAL1E160pp,0.0
LPLIPAL1E161pp,0.0
LPLIPAL1E180pp,0.0
LPLIPAL1E181d11pp,0.0
LPLIPAL1G160pp,0.0
LPLIPAL1G161pp,0.0
LPLIPAL1G180pp,0.0
LPLIPAL1G181d11pp,0.0
LPSALAT,0.0012524417449951174
LPSGTR1_kt,0.0012524417449951174
LPSGTR2_kt,0.0012524417449951174
LPSGTR3_kt,0.0012524417449951174
LPSGTR4_kt,0.0012524417449951174
LSERDHr,0.007493582870022309
LTDCL,0.0
LYSDC,0.0
LYSMO,0.0
LYSRC,0.0
LYSTRS,0.0
LYSabcpp,0.0
LYStex,0.0
L_LACD2,0.0
L_LACt2rpp,0.0
L_LACtex,0.0
MACACI,0.0
MACCOAT,0.0
MACPD,0.0
MAGLIPA160ex,0.0
MAGLIPA180ex,0.0
MAGLIPA181d9ex,0.0
MAGLIPA182d9d12ex,0.0
MAK,0.0
MALCOAMT,3.2477288719648505e-05
MALDt2_2pp,0.0
MALDtex,0.0
MALEI,0.0
MALS,0.0
MALTT,0.0
MALt2_2pp,0.0
MALtex,0.0
MAN1PT2,0.0
MAN6PI,0.0
MANE,0.0
MANabcpp,0.0
MANtex,0.0
MBCOAi,0.0
MCBTFR1,0.0
MCBTFR2,0.0
MCBTFUexs,0.0
MCBTFabcpp,0.0
MCBTFtex,0.0
MCBTFtonex,0.0
MCBTFtpp,0.0
MCCC,0.0
MCITD,0.0
MCITL2,0.0
MCITS,0.0
MCOATA,0.2785464659483332
MCSNAH,0.0
MCSNtex,0.0
MCSNtpp,0.0
MCTP1App,0.001610776043701172
MCTP1Bpp,0.00028502555351257324
MCTP2App,9.505652618408204e-06
MDDCP1pp,0.0015638238807678224
MDDCP2pp,9.505652618408204e-06
MDDCP3pp,0.0
MDDCP4pp,0.0
MDDCP5pp,0.0
MDDEP1pp,0.001140246239089966
MDDEP2pp,0.0
MDDEP3pp,0.0
MDDEP4pp,0.0
MDH,3.699098994655174
MDH2,0.0
MDNTHAep,0.0
ME2,0.0
MECDPDH5,0.0004729427510419599
MECDPS_copy1,0.0004729427510419599
MELIBt3ipp,0.0
MEOHtex,0.0
MEOHtrpp,0.0
MEPCT,0.0004729427510419599
METAT,0.0010803959752182768
METDabcpp,0.0
METGL,0.0
METOX1s,0.0
METOX2s,0.0
METS,0.022199321553719793
METSOXR1,0.0
METSOXR2,0.0
METTRS,0.0
METabcpp,0.0
METtex,0.0
MG2tex,0.003073745324133543
MG2tpp,0.003073745324133543
MG2uabcpp,0.0
MGCH,0.0
MI1PP,-1.0805092481397777e-56
MICITDr,0.0
MLDCP1App,4.695216293334961e-05
MLDCP1Bpp,0.0
MLDCP2App,0.0
MLDCP2Bpp,0.0
MLDCP3App,0.00028502555351257324
MLDEP1pp,0.00028502555351257324
MLDEP2pp,0.0
MLTGY1pp,0.0
MLTGY2pp,0.0
MLTGY3pp,0.0
MLTGY4pp,0.0
MMETt2pp,0.0
MMETtex,0.0
MMSAD3,0.0
MMTSAO,0.0
MN2t3pp,0.0
MNabc_1,2.380339138405533e-06
MNtex,2.380339138405533e-06
MOADSUx,0.00019270562169089816
